132,59,22/09/2019,04/08/2021
190,50,24/07/2021,27/08/2021
140,55,23/01/2019,25/01/2019
178,92,03/01/2021,09/10/2019
75,64,09/01/2022,02/08/2019
197,84,04/03/2021,12/06/2021
112,81,04/05/2019,12/01/2020
35,21,25/01/2020,28/01/2021
32,54,06/09/2020,23/10/2018
2,28,22/09/2018,04/07/2020
72,6,09/10/2021,19/08/2020
55,68,01/11/2019,16/08/2020
20,97,15/03/2019,16/03/2020
12,45,19/10/2021,01/09/2019
59,33,24/04/2020,01/07/2020
62,99,15/03/2021,17/03/2019
43,86,17/06/2021,23/12/2018
45,52,09/02/2019,09/03/2021
12,57,18/05/2019,30/03/2020
57,70,18/02/2020,11/11/2021
140,51,01/06/2020,05/03/2020
64,7,10/09/2018,15/01/2020
99,52,10/01/2022,20/09/2019
99,14,09/09/2021,11/08/2019
59,31,11/03/2020,07/11/2020
61,58,28/06/2020,23/04/2022
59,35,13/06/2020,06/11/2019
195,81,07/06/2020,19/11/2019
39,61,01/08/2021,11/03/2019
62,1,10/01/2020,07/04/2021
96,11,04/05/2021,25/03/2021
135,92,25/07/2019,28/11/2020
72,32,07/09/2020,25/11/2019
108,74,15/04/2021,24/08/2020
58,68,20/08/2020,10/09/2019
89,24,01/09/2020,20/10/2018
25,91,19/02/2022,22/04/2020
145,6,24/01/2019,23/01/2019
59,20,13/01/2021,04/09/2020
126,33,08/03/2020,20/05/2019
21,21,09/07/2020,25/02/2019
67,55,15/02/2022,19/09/2021
181,16,11/10/2021,12/05/2020
68,29,20/02/2022,04/01/2020
21,79,20/09/2021,28/11/2019
63,52,23/01/2022,12/03/2021
27,21,06/01/2021,09/06/2020
81,66,29/08/2019,22/04/2021
19,78,31/10/2019,13/02/2019
167,74,27/02/2022,11/02/2019
168,58,01/02/2020,31/03/2020
29,5,04/10/2021,11/10/2020
183,75,03/06/2019,17/08/2019
37,46,08/08/2021,04/05/2021
34,11,11/01/2019,26/08/2020
164,43,30/10/2020,20/11/2020
29,34,07/10/2020,05/11/2019
163,37,25/04/2022,09/09/2018
171,70,05/07/2020,05/09/2021
183,37,17/12/2018,21/06/2021
27,10,01/04/2020,18/08/2020
88,77,12/05/2022,22/09/2021
28,88,08/03/2022,13/05/2021
122,24,09/10/2018,01/10/2019
175,2,24/01/2022,01/01/2022
179,4,08/12/2021,22/03/2021
79,39,26/06/2019,22/02/2020
153,55,31/10/2018,23/11/2019
97,80,20/02/2022,15/06/2020
33,11,12/11/2018,18/03/2022
93,7,12/11/2021,01/02/2022
107,75,17/05/2019,08/04/2019
193,67,01/10/2020,23/11/2021
147,29,18/04/2021,29/08/2021
120,11,29/07/2021,17/05/2022
72,29,11/01/2020,23/11/2018
101,91,26/04/2022,18/09/2019
179,14,24/02/2021,03/09/2020
141,18,28/07/2021,13/05/2020
103,46,22/09/2018,06/04/2022
36,29,15/12/2021,28/08/2019
8,65,24/04/2019,13/08/2019
29,58,06/08/2018,04/01/2022
3,52,11/10/2018,07/05/2021
20,1,20/06/2022,18/08/2020
179,54,26/06/2019,09/12/2021
160,94,13/12/2018,29/03/2019
59,15,28/04/2021,13/03/2021
68,68,08/04/2021,22/07/2019
190,13,13/11/2020,24/10/2021
123,2,03/02/2022,03/12/2020
50,87,21/11/2021,30/09/2019
92,94,28/03/2020,21/02/2019
71,40,30/07/2020,14/06/2021
69,12,24/05/2022,06/05/2021
132,48,04/01/2022,27/01/2019
129,97,11/11/2018,11/07/2019
56,93,12/03/2021,17/01/2021
142,91,26/03/2022,11/04/2021
121,61,09/01/2022,12/01/2022
